Y,umur_krt,jumlah_art,luas_lantai,jk_krt,status_kawin_krt,pendidikan_krt,pekerjaan_krt,keluhan_kesehatan,internet_krt,usaha_mikro,bansos,wilayah,status_bangunan,jenis_lantai,jenis_dinding,jenis_atap,sumber_air,penerangan,bahan_bakar,motor,laptop,kabupaten
0,48,1,108,2,3,9,12,5,1,1,1,2,1,6,1,3,4,1,4,1,1,1
0,64,1,60,1,2,8,14,5,1,1,1,2,1,6,1,3,4,1,4,1,5,1
0,44,1,120,1,2,21,21,5,1,1,5,2,1,5,1,3,2,1,4,1,1,1
0,45,2,336,1,2,23,20,5,1,5,5,2,1,1,1,3,4,1,3,1,1,1
0,36,1,88,2,2,13,3,5,1,5,5,2,3,5,3,3,4,2,4,1,5,1
0,42,1,75,1,2,13,11,5,1,5,5,2,1,6,3,3,3,2,4,1,5,1
0,57,1,120,1,2,13,2,1,1,5,5,2,1,6,1,3,3,1,4,1,5,1
0,73,1,112,1,2,18,3,5,1,5,5,2,1,2,1,3,3,1,4,1,5,1
0,69,1,48,1,4,8,3,1,1,5,5,2,3,6,3,3,3,1,4,1,5,1
0,48,1,200,2,3,8,14,1,1,1,1,2,1,6,1,3,3,1,4,1,5,1
0,71,1,30,1,2,13,12,5,1,5,5,2,1,6,1,3,3,1,4,1,5,1
0,64,1,48,1,2,13,3,5,1,5,5,2,1,5,6,3,2,1,4,5,5,1
0,64,1,304,1,2,3,3,5,1,5,5,2,1,6,1,3,3,1,4,1,5,1
1,63,1,63,1,2,3,3,1,1,5,5,2,1,6,1,3,3,1,4,1,5,1
0,42,1,35,1,2,13,3,5,1,1,5,2,1,6,1,3,3,1,4,1,5,1
1,51,1,120,1,2,13,19,1,1,1,5,2,1,2,1,3,3,1,4,1,1,1
0,62,1,91,2,2,13,1,5,1,1,5,2,1,6,1,3,2,1,4,1,5,1
0,60,1,105,1,2,19,1,1,1,1,5,2,1,6,1,3,2,1,4,1,5,1
1,40,1,120,1,2,15,1,1,1,1,5,2,1,2,1,3,2,1,4,1,5,1
1,66,1,70,1,2,8,1,1,1,1,5,2,1,6,1,3,2,1,10,5,5,1
1,36,1,40,1,2,14,20,1,1,1,5,2,1,6,1,3,2,1,4,1,1,1
0,64,1,70,2,4,3,5,1,1,5,1,2,1,6,1,3,5,1,10,5,5,1
0,45,1,124,1,2,14,1,5,1,1,1,2,1,6,1,3,2,1,4,5,5,1
0,63,2,98,1,4,15,2,1,1,1,1,2,1,6,1,3,2,1,4,1,5,1
1,43,1,120,1,2,14,1,1,1,1,1,2,1,6,1,3,5,1,4,1,5,1
0,74,1,348,2,4,3,3,1,1,5,5,2,1,2,1,3,3,1,3,1,1,1
0,68,2,81,2,4,3,3,1,1,5,5,2,1,2,1,3,3,1,4,5,5,1
1,44,1,108,1,2,3,1,5,1,1,5,2,1,6,1,3,3,1,4,1,5,1
1,43,2,450,1,2,8,4,5,1,1,5,2,3,6,1,3,3,1,4,1,5,1
1,43,1,135,1,2,13,4,5,1,1,5,2,3,6,1,3,3,1,4,1,5,1
0,52,1,58,1,2,15,4,5,1,1,5,2,1,6,1,3,3,1,4,1,5,1
0,42,2,140,1,2,21,21,5,1,1,5,2,3,6,1,3,3,1,7,1,5,1
0,68,1,86,2,2,14,21,5,1,5,5,2,1,2,1,3,2,1,3,1,5,1
1,44,1,60,1,2,9,1,5,1,1,5,2,1,6,1,3,2,1,4,1,5,1
0,69,1,138,1,2,21,2,1,1,1,5,2,1,2,1,3,2,1,3,1,1,1
0,74,1,45,1,2,3,3,5,1,5,5,2,1,5,1,3,3,1,10,5,5,1
0,49,1,60,2,4,8,1,5,1,1,5,2,1,6,1,3,3,1,4,1,1,1
0,45,1,144,1,2,13,11,5,1,5,5,2,1,6,1,3,3,1,4,1,5,1
0,41,1,84,1,2,3,5,5,1,1,5,2,1,6,1,3,3,1,4,1,5,1
1,53,1,72,1,2,14,1,5,1,1,5,2,1,6,1,3,2,1,4,1,1,1
0,46,2,72,1,2,13,1,5,1,1,5,2,1,6,1,3,3,1,4,1,5,1
0,72,1,100,1,2,9,3,5,1,1,5,2,1,6,1,3,3,1,10,1,5,1
0,53,1,99,1,2,13,3,5,2,1,5,2,1,5,1,3,3,1,10,1,5,1
1,74,2,300,1,2,3,3,1,1,1,1,2,1,6,1,3,3,1,4,1,5,1
0,41,1,128,1,2,13,20,5,1,1,5,2,1,6,1,3,3,1,4,1,5,1
0,49,2,108,1,2,13,11,5,2,5,5,2,1,6,1,3,2,1,4,1,1,1
0,28,2,54,2,2,13,3,5,1,5,5,2,3,2,1,3,2,1,4,1,5,1
0,63,1,136,2,2,9,3,5,1,5,5,2,1,6,1,3,2,1,3,1,5,1
0,23,0,120,2,1,21,3,5,1,5,5,2,1,2,1,3,5,1,4,1,1,1
1,67,1,80,1,2,3,1,5,1,5,5,2,1,2,1,3,2,1,4,1,5,1
1,51,1,56,1,2,3,1,5,1,5,1,2,3,5,1,3,2,1,7,1,5,1
1,53,1,200,1,2,13,14,5,1,1,5,2,1,6,1,3,2,1,4,1,1,1
0,68,2,54,2,4,3,3,5,1,5,5,2,1,6,1,3,2,1,4,5,5,1
0,70,1,50,2,4,3,3,1,1,5,5,2,1,5,1,3,2,1,4,5,5,1
0,47,1,95,1,2,9,3,1,2,5,5,2,1,5,1,3,2,1,4,1,5,1
0,69,1,300,1,2,3,4,5,1,5,5,2,1,5,1,3,2,1,4,1,5,1
0,44,2,72,1,2,21,21,5,1,1,5,2,3,6,1,3,2,1,4,1,5,1
0,21,0,126,2,1,21,3,1,1,5,5,2,3,5,1,3,3,1,4,1,1,1
1,57,1,198,1,2,14,1,1,1,1,5,2,1,5,1,3,2,1,4,1,5,1
1,44,1,84,1,2,13,12,1,1,1,5,2,1,2,1,3,2,1,4,1,5,1
0,48,1,96,1,2,23,21,5,1,5,5,2,1,2,1,3,2,1,4,1,1,1
1,64,1,212,1,2,13,3,1,2,5,5,2,1,2,1,3,2,1,4,1,5,1
1,40,2,72,1,2,13,4,5,1,1,5,2,3,5,1,3,2,1,4,5,5,1
1,42,1,140,1,2,13,21,5,1,5,5,2,1,6,1,3,2,1,4,1,5,1
1,76,1,144,1,2,3,1,1,1,1,5,2,1,5,1,3,2,1,4,1,5,1
0,59,2,30,2,3,3,3,1,1,5,1,2,1,6,1,3,7,1,4,5,5,1
0,33,1,135,2,3,13,20,1,1,5,5,2,3,6,1,3,2,1,4,1,1,1
0,70,2,72,1,2,8,3,5,1,5,5,2,1,1,1,3,5,1,4,5,5,1
0,49,1,72,1,2,13,12,1,2,1,5,2,1,6,1,3,2,1,4,1,5,1
0,46,1,54,1,2,21,21,1,1,1,5,2,1,6,1,3,3,1,4,1,5,1
0,60,1,140,2,4,21,3,1,1,5,5,2,1,2,1,3,2,1,4,1,5,1
0,56,1,112,1,2,23,21,5,1,5,5,2,1,2,1,3,2,1,4,1,1,1
0,60,2,500,1,2,13,1,5,1,1,5,2,1,2,1,3,2,1,4,1,1,1
1,53,1,136,1,2,13,4,1,1,1,5,2,1,1,1,3,2,1,4,1,1,1
1,43,2,75,1,2,13,20,5,1,5,5,2,3,2,1,3,2,1,4,1,1,1
0,45,1,66,1,4,3,1,1,1,1,5,1,1,5,1,3,9,1,10,1,5,1
0,37,1,88,1,2,19,1,1,1,1,5,1,1,5,1,3,9,1,4,1,1,1
0,72,1,55,2,4,3,3,1,1,5,5,1,1,5,3,3,9,1,10,5,5,1
0,44,1,72,1,2,13,20,1,1,1,5,1,1,6,1,3,2,1,4,1,1,1
0,60,1,42,2,4,3,3,5,1,5,5,1,1,6,1,3,9,1,10,5,5,1
0,74,1,30,1,4,3,1,1,1,5,5,1,1,5,1,3,9,1,10,5,5,1
0,44,1,88,2,3,3,1,1,1,5,5,1,1,5,3,3,9,1,4,1,5,1
0,37,1,66,1,3,8,1,5,1,5,5,1,1,5,1,3,9,1,10,1,5,1
0,53,1,66,1,2,8,8,1,1,1,5,1,1,5,1,3,9,1,4,1,5,1
0,41,1,55,2,2,3,1,1,1,1,5,1,1,6,1,3,9,1,4,1,1,1
1,70,2,66,1,2,3,3,1,1,1,5,2,1,5,1,3,9,1,10,1,5,1
0,21,1,210,2,2,13,3,1,1,5,5,2,1,5,1,3,9,1,4,1,5,1
0,50,2,72,1,2,3,1,5,1,1,5,2,1,5,1,3,9,1,4,1,5,1
0,67,1,36,2,2,3,1,1,1,1,5,2,1,5,3,3,9,1,10,1,5,1
0,43,3,80,1,2,3,1,5,1,1,1,2,1,5,1,3,3,1,10,1,5,1
0,82,1,77,2,4,3,3,5,1,5,5,2,1,5,3,3,9,1,10,5,5,1
0,36,1,55,2,2,13,1,1,1,1,5,2,1,5,1,3,2,1,4,1,5,1
0,66,1,72,1,2,3,3,1,1,5,1,2,1,5,1,3,9,1,10,5,5,1
0,64,1,72,1,2,3,3,1,1,1,1,2,1,5,3,3,9,1,10,1,5,1
0,73,1,80,1,4,8,3,1,1,5,5,2,1,5,1,3,9,1,0,5,5,1
0,69,1,24,2,4,3,3,1,1,5,1,2,1,6,1,3,3,1,4,5,5,1
1,37,1,100,1,2,13,20,1,1,5,5,2,1,1,1,3,3,1,4,1,1,1
1,31,2,120,1,2,21,21,5,1,5,1,2,1,6,1,3,2,1,4,1,5,1
0,49,1,160,1,2,11,1,1,1,5,5,2,1,2,1,3,3,1,4,1,5,1
